ID,Name,PC1,PC2,PC3,PC4,PC5,Quadrant,Octant,MP,BP,Density,Dielectric,ETN,Refractive Index,Hildebrand,Hansen Disp,Hansen Polar,Hansen H-Bond,Gutmann,Dipole,Solvatochromic Pi*,Solvatochromic Alpha,Solvatochromic Beta,log Pow,Abraham R2,Abraham Pi,Abraham AH,Abraham BH,Abraham L16,Abraham Vx,Auto-Ignition,T-Rating,Flash Point,Flammability,Flammability Score,Vapour Pressure,VOC Potential,Viscosity,Viscosity Score,Hvap,Heat Capacity,Static,Solubility of Water,Miscibility,ICH Class,ICH Limit,Health_old,Impact in Air,Impact in Water,LCA,SMILES,InChIKey,InChI,CAS,Formula,Mol. Wt.,General,Environmental,Environmental Link,Reactivity,Reactivity Literature,Avoidance,Acid,Alcohol,Alkene,Anhydride,Amide,1°Amide,2°Amide,3°Amide,Amine,1°Amine,2°Amine,3°Amine,Heteroaromatic Amines,Anilines,Nitrogen Bases,Aromatic,Carbonate,Ester,Ether,Ketone/Aldehyde,Halogen,Chloro,Fluoro,Hydrocarbon,Nitrile,Nitro,Phosphorus Containing,Sulfur Containing,Sulfide,Sulfoxide,Sulfite,Sulfone,Urea,Silicone,Other,Safety,Health,Environment,Default ranking,Adjusted ranking
155,"(2,2-Dimethyl-1,3-dioxolan-4-yl)methanol",-3.37704,2.79453,2.00933,0.16007,-0.215957,3,7,-27.0,189.0,1.064,,,1.434,,,,,,,,,,0.06,,,,,,1.022,,Not Assigned,90,Class IIIA,1,,,,,,,,,Y,,,Not Assigned,,,,OCC1COC(O1)(C)C,RNVYQYLELCKWAN-UHFFFAOYSA-N,"InChI=1S/C6H12O3/c1-6(2)8-4-5(3-7)9-6/h5,7H,3-4H2,1-2H3",100-79-8,C6H12O3,132.158,,,,Can react under acidic conditions,,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,2,5,7,Problematic,Problematic
160,"(E)-1,2-Dichloroethene",0.491969,-5.33024,-1.52464,1.85403,0.440174,2,2,-81.5,60.2,1.276,9.2,,1.449,9.5,,,,0.0,2.95,,,,1.86,0.43,0.41,0.09,0.05,2.28,0.592,460,T1,4,Class IB,3,163.1,3,0.412,0,247,901,,,N,,,Not Assigned,,,,Cl/C=C/Cl,KFUSEUYYWQURPO-OWOJBTEDSA-N,InChI=1S/C2H2Cl2/c3-1-2-4/h1-2H/b2-1+,156-59-2,C2H2Cl2,96.943,,,,,,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,5,6,7,Problematic,Problematic
234,(Trifluoromethoxy)benzene [Trifluoromethylphenyl ether],5.24751,-2.66385,0.336053,0.731527,0.321168,2,6,,103.0,1.226,,,1.406,,,,,,,,,,,,,,,,0.969,,Not Assigned,,Not Assigned,Not Assigned,,,,,,,,,N,,,Not Assigned,,,,FC(Oc1ccccc1)(F)F,GQHWSLKNULCZGI-UHFFFAOYSA-N,"InChI=1S/C7H5F3O/c8-7(9,10)11-6-4-2-1-3-5-6/h1-5H",22699-70-3,C7H5F3O,162.109,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,6,5,5,Problematic,Problematic
161,"(Z)-1,2-Dichloroethene",2.03275,-5.64124,-0.768073,0.930582,-0.665294,2,2,-49.4,47.7,1.246,2.3,,1.446,9.1,,,,0.0,0.0,0.44,0.0,0.0,1.93,0.44,0.61,0.11,0.05,2.44,0.592,460,T1,2,Class IB,3,270.5,3,0.466,0,287,917,,,N,,,Not Assigned,,,,Cl/C=C\Cl,KFUSEUYYWQURPO-UPHRSURJSA-N,InChI=1S/C2H2Cl2/c3-1-2-4/h1-2H/b2-1-,156-60-5,C2H2Cl2,96.943,,,,,,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,5,6,5,Problematic,Problematic
202,1-Butylamine,-2.53329,1.25937,-1.86475,-2.90118,-2.33359,3,3,-49.1,77.4,0.73,,,1.4,8.7,7.9,2.2,3.9,42.0,1.39,,,0.72,0.86,0.22,0.35,0.16,0.61,2.62,0.772,312,T2,-12,Class IB,3,71.6,2,0.504,0,738,3501,,,N,,,Not Assigned,,,,CCCCN,HQABUPZFAYXKJW-UHFFFAOYSA-N,"InChI=1S/C4H11N/c1-2-3-4-5/h2-5H2,1H3",109-73-9,C4H11N,73.137,,,,,,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,5,10,5,Hazardous,Hazardous
194,1-Heptanol,-0.533689,0.91061,4.09596,-0.810862,-0.774663,0,7,-34.0,176.2,0.82,,0.55,1.42,10.5,,,,,1.74,,,,2.62,,,,,,1.154,282,T3,77,Class IIIA,1,0.2,1,7.039,1,1485,2828,,,N,,,Not Assigned,,,,CCCCCCCO,BBMCTIGTTCKYKF-UHFFFAOYSA-N,"InChI=1S/C7H16O/c1-2-3-4-5-6-7-8/h8H,2-7H2,1H3",111-70-6,C7H16O,116.201,,,,,,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,1,2,5,Recommended,Recommended
196,1-Hexanol,-1.71547,0.0633819,3.42011,-0.979458,-0.868482,0,7,-44.6,157.0,0.82,,0.6,1.42,10.8,,,,,1.65,,,,2.03,,,,,,1.013,285,T3,63,Class IIIA,1,0.7,1,5.275,1,1183,2859,,,N,,,Not Assigned,,,,CCCCCCO,ZSIAUFGUXNUGDI-UHFFFAOYSA-N,"InChI=1S/C6H14O/c1-2-3-4-5-6-7/h7H,2-6H2,1H3",111-27-3,C6H14O,102.175,,,,,,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,3,5,5,Problematic,Problematic
126,1-Methoxypropan-2-ol,-2.86796,0.209277,-1.13539,-1.44295,0.185015,3,3,-96.7,120.6,0.92,,,1.4,10.4,,,,,2.4,,,,,,,,,,0.79,287,T3,32,Class IC,3,7.9,1,1.904,1,828,,,,Y,,,Not Assigned,,,,COCC(O)C,ARXJGSRGQADJSQ-UHFFFAOYSA-N,"InChI=1S/C4H10O2/c1-4(5)3-6-2/h4-5H,3H2,1-2H3",107-98-2,C4H10O2,90.121,Racemic mixture - are you forming a chiral centre ?,More polar analogue of  IPA - Propylene glycol ethers offer better safety profile than ethylene glycol analogues.,http://msdssearch.dow.com/PublishedLiteratureDOWCOM/dh_08ad/0901b803808ad674.pdf?filepath=oxysolvents/pdfs/noreg/110-00617.pdf&fromPage=GetDoc,,,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,3,2,3,Recommended,Recommended
156,1-Methyl-4-(prop-1-en-2-yl)cyclohex-1-ene [D-Limonene],7.08493,-0.644653,0.563942,1.22877,-1.57243,2,6,-74.2,176.5,0.84,,,1.47,8.2,,,,,1.57,,,,,,,,,,1.323,237,T3,45,Class II,2,1.5,1,0.93,0,288,2147,,,N,,,Not Assigned,,,,CC1=CCC(CC1)C(=C)C,XMGQYMWWDOXHJM-UHFFFAOYSA-N,"InChI=1S/C10H16/c1-8(2)10-6-4-9(3)5-7-10/h4,10H,1,5-7H2,2-3H3",5989-27-5,C10H16,136.234,Chiral solvent - Could be problematic for asymmetric reactions.,,,,,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,4,2,7,Problematic,Problematic
151,1-Methylazepan-2-one [N-Methylcaprolactam],-2.14404,4.21566,-2.4185,0.486245,-0.358426,3,3,,107.0,1.013,,0.34,1.483,,,,,27.1,4.23,,,,,,,,,,1.102,,Not Assigned,103,Class IIIB,1,,,,,,,,,Not Determined,,,Not Assigned,,,,CN1CCCCCC1=O,ZWXPDGCFMMFNRW-UHFFFAOYSA-N,"InChI=1S/C7H13NO/c1-8-6-4-2-3-5-7(8)9/h2-6H2,1H3",2556-73-2,C7H13NO,127.184,,,,,,N,N,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2,5,7,Problematic,Problematic
